cellphone_id,brand,model,operating system,internal memory,RAM,performance,main camera,selfie camera,battery size,screen size,weight,price,release date
30,Motorola,Moto G Play (2021),Android,32,3,1.42,13,5,5000,6.5,204,159,14/01/2021
31,Motorola,Moto G Pure,Android,32,3,1.02,13,5,4000,6.5,188,129,14/10/2021
32,Motorola,Moto G Power (2022),Android,64,4,1.35,50,8,5000,6.5,203,189,22/02/2022
33,Huwaei,Nova Y91,EMUI 13,128,6,3.52,50,8,7000,6.95,214,280,10/6/2023
34,Huwaei,Nova 11i,EMUI 13,128,8,4.2,48,16,5000,6.68,193,267,11/5/2023
35,Huwaei,Nova Y71,EMUI 12,128,8,3.9,48,8,6000,6.75,199,190,1/6/2023
36,Huwaei,Nova Enjoy 60X,HarmonyOS 3.0,256,8,5.6,50,8,7000,6.95,216,230,17/4/2023
37,Huwaei,Nova 11 Ultra,Harmony,512,8,6.8,50,8,4500,6.78,188,590,27/4/2023
38,Huwaei,Nova 11 Ultra,Harmony,512,8,6.8,50,8,4500,6.78,188,590,27/4/2023
39,Huwaei,Nova 11 Pro,HarmonyOS 3.0,256,8,4.48,50,8,4500,6.78,193,535,27/4/2023
40,Huwaei,Nova 11 ,HarmonyOS 3.0,128,8,3.9,50,60,4500,6.7,168,399,27/4/2023
41,Huwaei,Mate X3,HarmonyOS 3.1,256,12,4.2,50,8,4800,7.85,239,2199,8/4/2023
42,Huwaei,P60 Pro,HarmonyOS 3.2,256,12,6.9,48,13,4815,6.67,200,1115,31/3/2023
43,Huwaei,P60 ,HarmonyOS 3.3,512,8,7.5,48,13,4815,6.67,197,600,31/3/2023
44,Huwaei,P60 Art,HarmonyOS 3.4,1000,12,7.5,48,13,5100,6.67,206,1200,8/4/2023
45,Huwaei,11 Yoth,HarmonyOS 2.0,256,8,8.5,108,16,4000,6.78,191,23,4/3/2023
46,Huwaei,Enjoy 50Z,HarmonyOS 2.1,256,6,4.8,50,5,5000,6.52,188,150,4/4/2022
47,Huwaei,Pocket S,HarmonyOS 2.2,256,12,5.4,40,8,4000,6.9,190,830,11/11/2022
48,Huwaei,Nova y61,HarmonyOS 2.3,64,6,2.9,50,5,5000,6.52,188,197,11/11/2022
49,Huwaei,Nova 10 SE,EMUI 12,128,8,6.6,108,16,4500,6.67,184,291,25/10/2022
50,Huwaei,Mate 50 ,HarmonyOS 2.2,512,12,6.74,50,13,4700,6.74,232,890,22/09/2022
51,Huwaei,Mate 50 pro,EMUI 13,512,8,5.4,64,13,4700,6.74,205,834,28/09/2022
52,Huwaei,nova 10z,armonyOS 2.0,256,8,4.2,64,16,4000,6.6,179,260,26/09/2022
53,Huwaei,nova 10 Pro,armonyOS 2.1,256,8,3.4,50,8,4500,6.78,191,730,10/7/2022
